Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10009_001,SE_A10009_002,SE_A10009_003,SE_A10009_004,SE_A10009_005,SE_A10009_006,SE_A10009_007,SE_A10009_008,SE_A10009_009,SE_A10009_010,SE_A10009_011,SE_A10009_012,SE_A10009_013,SE_A10009_014,SE_A10009_015,SE_A10009_016,SE_A10009_017,SE_A10009_018,SE_A10009_019,PCT_SE_A10009_002,PCT_SE_A10009_003,PCT_SE_A10009_004,PCT_SE_A10009_005,PCT_SE_A10009_006,PCT_SE_A10009_007,PCT_SE_A10009_008,PCT_SE_A10009_009,PCT_SE_A10009_010,PCT_SE_A10009_011,PCT_SE_A10009_012,PCT_SE_A10009_013,PCT_SE_A10009_014,PCT_SE_A10009_015,PCT_SE_A10009_016,PCT_SE_A10009_017,PCT_SE_A10009_018,PCT_SE_A10009_019,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,PCT_SE_B12001_002,PCT_SE_B12001_003,PCT_SE_B12001_004,SE_A12003_001,SE_A12003_002,SE_A12003_003,PCT_SE_A12003_002,PCT_SE_A12003_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017,SE_A14006_001,SE_A14020_001,SE_A14027_001,SE_A14027_002,SE_A14027_003,SE_A14027_004,SE_A14027_005,SE_A14027_006,SE_A14026_001,SE_A14026_002,SE_A14026_003,SE_A14026_004,SE_A14026_005,SE_A14025_001,SE_A14025_002,SE_A14025_003,SE_A14025_004,SE_A14025_005,SE_A14025_006,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,PCT_SE_A13002_002,PCT_SE_A13002_003,PCT_SE_A13002_004,PCT_SE_A13002_005,PCT_SE_A13002_006,PCT_SE_A13002_007,PCT_SE_A13002_008,PCT_SE_A13002_009,PCT_SE_A13002_010,PCT_SE_A13002_011,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003
"06075010101","Census Tract 101.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010101","Census Tract 101.01",,,,1212,35,35,35,0,0,0,0,0,0,1177,380,328,52,0,52,797,438,359,2.89,2.89,2.89,0,0,0,0,0,0,97.11,31.35,27.06,4.29,0,4.29,65.76,36.14,29.62,1742,102,1640,1621,1376,392,68,58,5.86,94.14,93.05,78.99,22.5,3.9,3.33,1742,102,264,1376,5.86,15.15,78.99,133,0,133,0,100,1212,30,26,56,158,0,0,68,0,33,12,123,55,193,81,138,239,2.48,2.15,4.62,13.04,0,0,5.61,0,2.72,0.99,10.15,4.54,15.92,6.68,11.39,19.72,101974,58721500,17122,49602,99883,153092,370674,577559,22280,68375,122970,191846,250001,2.48,7.18,14.47,22.18,53.69,20.91,83,0,83,0,100,415,4,0,4,0,0,0,0,0,0,411,0.96,0,0.96,0,0,0,0,0,0,99.04,1525,144,1381,9.44,90.56
"06075010102","Census Tract 101.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010102","Census Tract 101.02",,,,907,217,217,58,159,29,130,0,0,0,690,258,113,145,24,121,432,239,193,23.93,23.93,6.39,17.53,3.2,14.33,0,0,0,76.07,28.45,12.46,15.99,2.65,13.34,47.63,26.35,21.28,1419,215,1204,1115,729,433,166,27,15.15,84.85,78.58,51.37,30.51,11.7,1.9,1419,215,475,729,15.15,33.47,51.37,8,0,8,0,100,907,74,77,0,38,27,179,0,17,0,15,0,21,68,33,57,301,8.16,8.49,0,4.19,2.98,19.74,0,1.87,0,1.65,0,2.32,7.5,3.64,6.28,33.19,108417,73649900,11121,31137,87199,209151,475719,833200,23538,34248,133667,250001,250001,1.37,3.82,10.71,25.68,58.42,25.58,267,0,267,0,100,475,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,100,1158,91,1067,7.86,92.14
"06075010201","Census Tract 102.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010201","Census Tract 102.01",,,,1375,203,203,105,98,11,87,0,0,0,1172,317,314,3,0,3,855,328,527,14.76,14.76,7.64,7.13,0.8,6.33,0,0,0,85.24,23.05,22.84,0.22,0,0.22,62.18,23.85,38.33,2230,56,2174,2148,1703,872,238,104,2.51,97.49,96.32,76.37,39.1,10.67,4.66,2230,56,471,1703,2.51,21.12,76.37,0,0,0,,,1375,56,5,13,10,52,27,32,0,0,0,68,46,38,149,261,618,4.07,0.36,0.95,0.73,3.78,1.96,2.33,0,0,0,4.95,3.35,2.76,10.84,18.98,44.95,160221,276992600,,,,,,,77308,150925,224333,250001,250001,,,,,,,229,0,229,0,100,520,3,0,0,0,0,0,3,0,3,517,0.58,0,0,0,0,0,0.58,0,0.58,99.42,1942,138,1804,7.11,92.89
"06075010202","Census Tract 102.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010202","Census Tract 102.02",,,,1091,65,65,54,11,0,11,0,0,0,1026,326,316,10,0,10,700,410,290,5.96,5.96,4.95,1.01,0,1.01,0,0,0,94.04,29.88,28.96,0.92,0,0.92,64.16,37.58,26.58,1573,2,1571,1538,1374,640,108,19,0.13,99.87,97.77,87.35,40.69,6.87,1.21,1573,2,197,1374,0.13,12.52,87.35,54,0,54,0,100,1091,65,0,8,0,38,21,14,42,21,2,15,44,0,30,236,555,5.96,0,0.73,0,3.48,1.92,1.28,3.85,1.92,0.18,1.37,4.03,0,2.75,21.63,50.87,206484,104926000,28713,138485,203547,283669,1088895,2504944,61200,170293,230950,250001,250001,1.65,7.94,11.68,16.27,62.46,35.92,94,0,94,0,100,391,8,0,8,0,0,0,0,0,0,383,2.05,0,2.05,0,0,0,0,0,0,97.95,1305,95,1210,7.28,92.72
"06075010300","Census Tract 103, San Francisco County, California","ca","140","00",,,,"06","075",,,"010300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010300","Census Tract 103",,,,2143,132,132,76,56,0,56,0,0,0,2011,675,611,64,0,64,1336,572,764,6.16,6.16,3.55,2.61,0,2.61,0,0,0,93.84,31.5,28.51,2.99,0,2.99,62.34,26.69,35.65,3455,156,3299,3135,2801,1247,423,175,4.52,95.48,90.74,81.07,36.09,12.24,5.07,3455,156,498,2801,4.52,14.41,81.07,46,0,46,0,100,2143,108,94,58,0,76,41,44,0,0,0,125,147,58,112,327,953,5.04,4.39,2.71,0,3.55,1.91,2.05,0,0,0,5.83,6.86,2.71,5.23,15.26,44.47,158973,186214100,19291,97580,174805,259052,481741,730995,63014,146737,211162,250001,250001,1.87,9.45,16.93,25.09,46.66,17.7,186,0,186,0,100,807,75,0,42,0,0,0,33,0,33,732,9.29,0,5.2,0,0,0,4.09,0,4.09,90.71,2631,232,2399,8.82,91.18
"06075010401","Census Tract 104.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010401","Census Tract 104.01",,,,944,313,313,275,38,31,7,0,0,0,631,195,170,25,25,0,436,289,147,33.16,33.16,29.13,4.03,3.28,0.74,0,0,0,66.84,20.66,18.01,2.65,2.65,0,46.19,30.61,15.57,1696,104,1592,1397,1298,823,433,168,6.13,93.87,82.37,76.53,48.53,25.53,9.91,1696,104,294,1298,6.13,17.33,76.53,77,0,77,0,100,944,84,73,0,0,0,7,0,57,17,6,28,91,9,42,58,472,8.9,7.73,0,0,0,0.74,0,6.04,1.8,0.64,2.97,9.64,0.95,4.45,6.14,50,207500,139866000,12703,74637,207270,307586,549409,869512,41088,128577,250001,250001,250001,1.1,6.48,18,26.71,47.71,18.88,618,44,574,7.12,92.88,508,38,0,0,31,31,0,7,7,0,470,7.48,0,0,6.1,6.1,0,1.38,1.38,0,92.52,1402,139,1263,9.91,90.09
"06075010402","Census Tract 104.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010402","Census Tract 104.02",,,,1202,90,90,90,0,0,0,0,0,0,1112,301,228,73,73,0,811,471,340,7.49,7.49,7.49,0,0,0,0,0,0,92.51,25.04,18.97,6.07,6.07,0,67.47,39.18,28.29,1736,156,1580,1565,1352,583,237,115,8.99,91.01,90.15,77.88,33.58,13.65,6.62,1736,156,228,1352,8.99,13.13,77.88,0,0,0,,,1202,0,25,55,45,40,49,7,32,0,47,31,76,81,66,92,556,0,2.08,4.58,3.74,3.33,4.08,0.58,2.66,0,3.91,2.58,6.32,6.74,5.49,7.65,46.26,158500,130588200,24719,83330,173738,305570,692589,1162071,41516,123875,237179,250001,250001,1.93,6.51,13.57,23.87,54.11,22.7,135,0,135,0,100,391,19,0,19,0,0,0,0,0,0,372,4.86,0,4.86,0,0,0,0,0,0,95.14,1584,17,1567,1.07,98.93
"06075010500","Census Tract 105, San Francisco County, California","ca","140","00",,,,"06","075",,,"010500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010500","Census Tract 105",,,,1738,230,230,193,37,0,37,0,0,0,1508,543,496,47,5,42,965,460,505,13.23,13.23,11.1,2.13,0,2.13,0,0,0,86.77,31.24,28.54,2.7,0.29,2.42,55.52,26.47,29.06,2664,243,2421,2081,1943,1176,271,62,9.12,90.88,78.12,72.94,44.14,10.17,2.33,2664,243,478,1943,9.12,17.94,72.94,0,0,0,,,1738,46,97,0,52,0,65,6,16,33,24,92,202,86,103,159,757,2.65,5.58,0,2.99,0,3.74,0.35,0.92,1.9,1.38,5.29,11.62,4.95,5.93,9.15,43.56,171667,206308600,24971,87756,168298,256256,589553,946844,60413,123081,220395,250001,250001,2.22,7.79,14.94,22.74,52.32,21.01,376,0,376,0,100,773,29,0,0,0,0,0,29,0,29,744,3.75,0,0,0,0,0,3.75,0,3.75,96.25,1916,102,1814,5.32,94.68
"06075010600","Census Tract 106, San Francisco County, California","ca","140","00",,,,"06","075",,,"010600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010600","Census Tract 106",,,,1836,174,174,155,19,19,0,0,0,0,1662,436,262,174,103,71,1226,724,502,9.48,9.48,8.44,1.03,1.03,0,0,0,0,90.52,23.75,14.27,9.48,5.61,3.87,66.78,39.43,27.34,2777,444,2333,2035,1287,572,166,68,15.99,84.01,73.28,46.34,20.6,5.98,2.45,2777,444,1046,1287,15.99,37.67,46.34,54,0,54,0,100,1836,71,144,191,77,31,36,64,131,9,80,11,224,175,121,82,389,3.87,7.84,10.4,4.19,1.69,1.96,3.49,7.14,0.49,4.36,0.6,12.2,9.53,6.59,4.47,21.19,86111,83705500,12447,32590,80386,139331,331360,496246,18671,44579,103845,203600,250001,2.15,5.46,13.48,23.36,55.55,20.8,292,21,271,7.19,92.81,610,103,0,29,61,11,50,13,0,13,507,16.89,0,4.75,10,1.8,8.2,2.13,0,2.13,83.11,2348,265,2083,11.29,88.71
"06075010701","Census Tract 107.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,,1834,165,165,136,29,0,29,0,0,0,1669,686,466,220,160,60,983,269,714,9,9,7.42,1.58,0,1.58,0,0,0,91,37.4,25.41,12,8.72,3.27,53.6,14.67,38.93,2951,1501,1450,696,394,139,12,0,50.86,49.14,23.59,13.35,4.71,0.41,0,2951,1501,1056,394,50.86,35.78,13.35,76,0,76,0,100,1834,250,337,97,214,98,179,14,113,34,194,92,27,85,8,51,41,13.63,18.38,5.29,11.67,5.34,9.76,0.76,6.16,1.85,10.58,5.02,1.47,4.63,0.44,2.78,2.24,27531,52190400,5850,15335,26942,45631,144678,332193,12475,21170,32609,58792,162525,2.45,6.43,11.3,19.14,60.68,34.83,175,39,136,22.29,77.71,851,135,39,86,10,0,10,0,0,0,716,15.86,4.58,10.11,1.18,0,1.18,0,0,0,84.14,1818,346,1472,19.03,80.97
