_id,CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
1,2017,All,California,18-24,16281
2,2017,All,California,25-34,27977
3,2017,All,California,35-44,25195
4,2017,All,California,45-54,26820
5,2017,All,California,55-64,23401
6,2017,All,California,65+,7590
7,2017,All,California,Invalid,103
8,2017,All,California,Under 18,51378
9,2017,All,California,Unknown,3354
10,2017,CA-500,Santa Clara County CoC,18-24,776
11,2017,CA-500,Santa Clara County CoC,25-34,1503
12,2017,CA-500,Santa Clara County CoC,35-44,1433
13,2017,CA-500,Santa Clara County CoC,45-54,1629
14,2017,CA-500,Santa Clara County CoC,55-64,1494
15,2017,CA-500,Santa Clara County CoC,65+,493
16,2017,CA-500,Santa Clara County CoC,Invalid,*
17,2017,CA-500,Santa Clara County CoC,Under 18,2349
18,2017,CA-500,Santa Clara County CoC,Unknown,*
19,2017,CA-501,San Francisco CoC,18-24,546
20,2017,CA-501,San Francisco CoC,25-34,479
21,2017,CA-501,San Francisco CoC,35-44,493
22,2017,CA-501,San Francisco CoC,45-54,597
23,2017,CA-501,San Francisco CoC,55-64,520
24,2017,CA-501,San Francisco CoC,65+,196
25,2017,CA-501,San Francisco CoC,Invalid,*
26,2017,CA-501,San Francisco CoC,Under 18,1492
27,2017,CA-501,San Francisco CoC,Unknown,55
28,2017,CA-502,Alameda County CoC,18-24,859
29,2017,CA-502,Alameda County CoC,25-34,958
30,2017,CA-502,Alameda County CoC,35-44,759
31,2017,CA-502,Alameda County CoC,45-54,928
32,2017,CA-502,Alameda County CoC,55-64,919
33,2017,CA-502,Alameda County CoC,65+,311
34,2017,CA-502,Alameda County CoC,Invalid,*
35,2017,CA-502,Alameda County CoC,Under 18,1837
36,2017,CA-502,Alameda County CoC,Unknown,26
37,2017,CA-503,Sacramento County CoC,18-24,951
38,2017,CA-503,Sacramento County CoC,25-34,1684
39,2017,CA-503,Sacramento County CoC,35-44,1506
40,2017,CA-503,Sacramento County CoC,45-54,1662
41,2017,CA-503,Sacramento County CoC,55-64,1237
42,2017,CA-503,Sacramento County CoC,65+,328
43,2017,CA-503,Sacramento County CoC,Invalid,*
44,2017,CA-503,Sacramento County CoC,Under 18,3851
45,2017,CA-503,Sacramento County CoC,Unknown,*
46,2017,CA-504,Sonoma County CoC,18-24,274
